body,entityname,userid,username,createdAt,entityName,address,city,country,state
👍,Little Mexico,111999367711552089717,Madison Is Boss,2018-03-12 23:13:48.661+00,Little Mexico,2001 West Morton Avenue, Jacksonville,Jacksonville,United States,Illinois
😁,The Local Craft Food & Drink,794492160751553,Wyndham Batchelor,2017-10-27 22:25:29.038+00,The Local Craft Food & Drink,150 Giralda Avenue, Coral Gables,Coral Gables,United States,Florida
🐟,R. Thomas' Deluxe Grill,110478412661569610356,cynthia coleman,2018-03-18 17:54:40.872+00,R. Thomas' Deluxe Grill,1812 Peachtree Street Northwest, Atlanta,Atlanta,United States,Georgia
🍤,Sakanaya,Yd6WnV2OU4d4RgjQcV7DkBjjwO13,Zhuohao Zhang,2019-08-30 23:58:45.467+00,Sakanaya,403 East Green Street, Champaign,Champaign,United States,Illinois
🥟,Pok Pok NY,sIqJK66gA3NEKykLrmjt9yJoMJw1,Anna Niess,2018-05-10 01:10:54.75+00,Pok Pok NY,117 Columbia St, Brooklyn,,United States,New York
🐄,Rico Fresh Market,1760092214030588,Laurece Omar Vazquez,2018-06-04 04:40:32.521+00,Rico Fresh Market,3552 West Armitage Avenue, Chicago,Chicago,United States,Illinois
💤,Century Cinema 16,10203191900074104,Sunil Khandekar,2017-09-24 20:27:06.303+00,Century Cinema 16,1500 North Shoreline Boulevard, Mountain View,Mountain View,United States,California
😋,Istanbul Restaurant,4fSiQkmyzzSrHMcu6b221awqU6j1,Yasemin Cicek,2018-10-12 02:21:21.405+00,Istanbul Restaurant,2631 Nolensville Pike, Nashville,Nashville,United States,Tennessee
😋,Restaurant Khajuraho Indien Fine Dining Bar,106173579224565293482,Kala Shivaramaiah,2018-10-21 07:57:09.223+00,Restaurant Khajuraho Indien Fine Dining Bar,14 Boulevard de la Tour-Maubourg, Paris,Paris,France,Île-de-France
🙂,Chophouse Row,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-09-14 01:36:31.413+00,Chophouse Row,1424 11th Avenue, Seattle,Seattle,United States,Washington
🍷,Bacchanal Fine Wine & Spirits,105856798281199967470,Sujay Khandekar,2019-01-05 01:30:25.972+00,Bacchanal Fine Wine & Spirits,600 Poland Avenue, New Orleans,New Orleans,United States,Louisiana
🥟,Mitsuwa Marketplace,10212391291791338,Jinda Han,2018-05-28 05:43:21.183+00,Mitsuwa Marketplace,675 Saratoga Avenue, San Jose,San Jose,United States,California
👀,Washington State Department of Licensing,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-05-12 08:06:32.76+00,Washington State Department of Licensing,205 Spring St, Seattle,Seattle,United States,Washington
🍬,Bab Plus Restaurant,xkUdubkt3Cgfn7peWTWTEejSvmm1,Hang Yuan,2018-10-01 00:00:29.684+00,Bab Plus Restaurant,700 South Gregory Street, Urbana,Urbana,United States,Illinois
🌳,Main Quad,rUajRYY99ddR5GFKMkWOdw7LAKD3,Vivek Bhookya,2019-04-25 23:39:08.168+00,Main Quad,607 South Mathews Avenue, Urbana,Urbana,United States,Illinois
🥐,Salt Lake City International Airport,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2018-12-06 16:55:23.015+00,Salt Lake City International Airport,776 North Terminal Drive, Salt Lake City,Salt Lake City,United States,Utah
🎩,Hammerhead Coffee,108032751776815363988,Jerry Talton,2017-10-28 05:50:25.812+00,Hammerhead Coffee,608 East University Avenue, Champaign,Champaign,United States,Illinois
🐓,Dos Reales Mexican Restaurant,1586942511398249,Habib Ben,2018-03-13 01:04:30.739+00,Dos Reales Mexican Restaurant,1407 North Prospect Avenue, Champaign,Champaign,United States,Illinois
🍚,Gymkhana,106173579224565293482,Kala Shivaramaiah,2019-05-26 06:06:56.271+00,Gymkhana,42 Albemarle Street, London,,United Kingdom,England
🤢,Taco Bell,116401275892424656095,Max Cooper,2018-03-10 20:06:50.268+00,Taco Bell,1003 West University Avenue, Urbana,Urbana,United States,Illinois
🌛,County Market,oCO1XnwTPub9pAXnMwOpAwQq65m1,Aayushi Gupta,2019-07-30 02:35:39.676+00,County Market,331 East Stoughton Street, Champaign,Champaign,United States,Illinois
😍,B.O.R.C. British Overseas Restaurant Corporation,bT15y837UBbqQ5HSUuKixfAhMYp2,Alex Wait,2019-02-04 23:12:05.672+00,B.O.R.C. British Overseas Restaurant Corporation,4120 North Williams Avenue, Portland,Portland,United States,Oregon
🥗,Howie's Artisan Pizza,106173579224565293482,Kala Shivaramaiah,2018-09-01 06:56:26.653+00,Howie's Artisan Pizza,855 El Camino Real #60, Palo Alto,Palo Alto,United States,California
🤔,Chopstix,1650050305046950,Ethan Hartowicz,2017-11-06 14:50:55.919+00,Chopstix,202 East Green Street Suite 1, Champaign,Champaign,United States,Illinois
🥗,The Bread Company,1647801008617579,Oliver Melvin,2018-02-20 01:26:49.893+00,The Bread Company,706 South Goodwin Avenue, Urbana,Urbana,United States,Illinois
🍧,Sharetea,849156475252964,Alyssa Chen,2018-05-19 21:22:58.772+00,Sharetea,1100 NE 45th St #100, Seattle,Seattle,United States,Washington
🍻,Firehaus,2091917037486877,Radhir Kothuri,2018-03-10 00:02:59.52+00,Firehaus,708 South 6th Street, Champaign,Champaign,United States,Illinois
🏢,Slack,10155216799991447,Simon Favreau-Lessard,2018-01-16 19:13:50.074+00,Slack,6th, 436 Lafayette Street, New York,New YorkUnited States,New York
🐟,Ballard (Hiram M. Chittenden) Locks,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2019-01-01 23:40:54.225+00,Ballard (Hiram M. Chittenden) Locks,3015 Northwest 54th Street, Seattle,Seattle,United States,Washington
👸,Altes Museum,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-10-18 03:30:42.166+00,Altes Museum,Bodestraße 1-3, Berlin,BerlinGermany,Berlin
🎁,Walgreens,1270106893044550,Anjali Ramani,2017-11-02 05:23:29.833+00,Walgreens,407 East Green Street, Champaign,Champaign,United States,Illinois
🌌,Dreamcatcher Tipi Hotel,106173579224565293482,Kala Shivaramaiah,2019-08-18 14:45:34.922+00,Dreamcatcher Tipi Hotel,20 Maiden Basin Drive, Gardiner,Gardiner,United States,Montana
