body,entityname,userid,username,createdAt,entityName,address,city,country,state
🛌,Columbia Asia Hospital Hebbal, Bangalore,MMbM4HMgQRdbhu8AHkg7R8GpXcJ2,Shruthi S,2019-01-21 12:10:20.254+00,Columbia Asia Hospital Hebbal, Bangalore,Kirloskar Business Park, Bellary Road, Bengaluru,Bengaluru,India,Karnataka
🤗,1800 E 9th St,105856798281199967470,Sujay Khandekar,2018-07-29 06:07:56.104+00,1800 E 9th St,Vancouver,Vancouver,United States,Washington
😋,MingHin Cuisine,1650050305046950,Ethan Hartowicz,2017-11-11 22:30:32.447+00,MingHin Cuisine,2168 South Archer Avenue, Chicago,Chicago,United States,Illinois
😊,Kusmi Tea,106173579224565293482,Kala Shivaramaiah,2018-10-21 07:58:52.12+00,Kusmi Tea,71 Avenue des Champs-Élysées, Paris,Paris,France,Île-de-France
🧀,Common Ground,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-19 22:14:21.091+00,Common Ground,300 South Broadway Avenue #166, Urbana,Urbana,United States,Illinois
🤤,Kung Fu Tea,1637611619594940,Liam Kenny,2017-12-06 05:00:06.017+00,Kung Fu Tea,707 South 6th Street suit 107, Champaign,Champaign,United States,Illinois
📝,Yale-NUS College,1517874618267474,Supriya Khandekar,2018-01-10 17:37:27.82+00,Yale-NUS College,#01-220, 16 College Avenue West,Singapore,Singapore,
🌶,Ferry Plaza Farmers Market,106173579224565293482,Kala Shivaramaiah,2018-09-01 19:16:51.662+00,Ferry Plaza Farmers Market,One Ferry Building #50, San Francisco,San Francisco,United States,California
🎵,Mckibbins Irish Pub,VaVSyKcXHxXqrVdZ9todkI8sKRX2,Ariel Weingarten,2018-04-27 04:29:20.485+00,Mckibbins Irish Pub,3515 St Laurent Blvd, Montreal,Montréal,Canada,Québec
😍,Arundel Books,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-01-07 22:42:15.304+00,Arundel Books,212 1st Avenue South, Seattle,Seattle,United States,Washington
🌶,Howie's Artisan Pizza,106173579224565293482,Kala Shivaramaiah,2018-09-30 00:30:43.068+00,Howie's Artisan Pizza,855 El Camino Real #60, Palo Alto,Palo Alto,United States,California
🐷,Carle Printing Services,10215323205660534,Austin Sun,2018-04-09 04:43:30.585+00,Carle Printing Services,208 W Griggs St, Urbana,Urbana,United States,IL
😄,The Design Lab UC San Diego,2979510660748,Ailie Fraser,2018-03-15 19:04:10.161+00,The Design Lab UC San Diego,Atkinson Hall, 1, 9500 Gilman Drive, San Diego,San Diego,United States,California
🍴,Goody's Burger House,10211437303582304,Vasilis Kiliaris,2017-11-20 12:58:51.146+00,Goody's Burger House,Platia Viktorias 2, Athina,Athina,Greece,
🍦,Cream & Flutter,115361705896308,Jerry Talton,2017-10-29 14:33:48.941+00,Cream & Flutter,114 North Walnut Street, Champaign,Champaign,United States,Illinois
🐓,The Himalayan Chimney,106173579224565293482,Kala Shivaramaiah,2018-07-27 22:44:02.872+00,The Himalayan Chimney,134 West Church Street, Champaign,Champaign,United States,Illinois
👭,BrewLab Coffee,vZzHgozANGdfpQATwglsOHYXkU52,Liza Sivriver,2019-06-03 18:27:49.758+00,BrewLab Coffee,5617, 630 South 5th Street, Champaign,Champaign,United States,Illinois
🦈,The Blue Door Restaurant & Bar,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-09-25 06:32:40.193+00,The Blue Door Restaurant & Bar,1502, 4937, Saratoga Avenue, San Jose,San Jose,United States,California
🥩,Fu Niu Tang Noodle Talk,10212391291791338,Jinda Han,2018-05-28 05:41:35.304+00,Fu Niu Tang Noodle Talk,150 W El Camino Real, Sunnyvale,Sunnyvale,United States,California
😐,La Palapa,10155200088205955,Ranjitha Kumar,2017-10-14 16:09:54.373+00,La Palapa,Punta Cana,Punta Cana,Dominican Republic,La Altagracia
😀,Thomas M. Siebel Center for Computer Science,10209441490268871,Selena Mei,2018-03-09 19:35:07.153+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
💨,Half Moon Bay,106173579224565293482,Kala Shivaramaiah,2019-09-02 20:37:19.319+00,Half Moon Bay,Half Moon Bay,Half Moon Bay,United States,California
🍕,MOD Pizza,BuwUXSWbNjTj3kKxwcsziytAtin1,Shruthi Kondin,2019-07-07 15:47:05.171+00,MOD Pizza,6447 Grand Avenue, Gurnee,Gurnee,United States,Illinois
💡,Carib Sushi,10155200088205955,Ranjitha Kumar,2018-03-26 00:33:42.21+00,Carib Sushi,Le Marquis Complex, The Lime, Saint George's,The Lime,Grenada,Saint George
🏨,Super 8 Columbia Clark Lane,395494837568437,Zifei Feng,2018-03-03 13:44:29.288+00,Super 8 Columbia Clark Lane,3216 Clark Lane, Columbia,Columbia,United States,Missouri
🧡,Happy Camper Pizzeria,1659104244102907,Dayana Edat,2018-06-02 14:41:52.167+00,Happy Camper Pizzeria,1209 North Wells Street, Chicago,Chicago,United States,Illinois
🍯,Honeybrains,10155200088205955,Ranjitha Kumar,2018-06-12 15:00:33.424+00,Honeybrains,372 Lafayette Street, New York,New YorkUnited States,New York
🌞,Auntie Anne's Pretzels,1585186008195683,Jennifer Zhong,2018-03-03 06:02:10.534+00,Auntie Anne's Pretzels,Illini Union, 1401 West Green Street, Urbana,Urbana,United States,Illinois
🥔,Signature Grill,1111655028939865,Arnav Mishra,2018-05-07 22:02:04.41+00,Signature Grill,Champaign,Champaign,United States,Illinois
😍,Mendocino Farms,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-06-17 19:39:03.261+00,Mendocino Farms,3090 Olsen Dr suite 150, San Jose,San Jose,United States,California
🐺,Wolfgang Puck Express,108473739188452905120,Jeffrey Higgs,2018-02-27 13:24:37.789+00,Wolfgang Puck Express,7800 Col. H. Weir Cook Memorial Drive, Indianapolis,Indianapolis,United States,Indiana
🌬,Main Quad,G69rqfvVeWQMi3ICE50HKZQRePr1,ChiBinh Dang (pccontroller),2019-02-14 07:30:54.498+00,Main Quad,607 South Mathews Avenue, Urbana,Urbana,United States,Illinois
🥪,La Finca Coffee & office,10155200088205955,Ranjitha Kumar,2018-04-23 17:23:00.213+00,La Finca Coffee & office,1067 Rue de Bleury, Montréal,Montréal,Canada,Québec
🤤,Hammerhead Coffee,1270106893044550,Anjali Ramani,2017-11-14 03:08:40.503+00,Hammerhead Coffee,608 East University Avenue, Champaign,Champaign,United States,Illinois
😋,Flemings Mayfair,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-05-27 00:19:03.863+00,Flemings Mayfair,7-12 Half Moon Street, London,,United Kingdom,England
🍗,Little Goat Diner,1659104244102907,Dayana Edat,2017-11-17 02:22:04.109+00,Little Goat Diner,820 West Randolph Street, Chicago,Chicago,United States,Illinois
👥,Koi Palace - Milpitas,6IF4jEVgqdOOayHvyiI12Pho8NY2,Ailing Wang,2018-07-21 23:28:25.649+00,Koi Palace - Milpitas,768 Barber Lane, Milpitas,Milpitas,United States,California
😍,Hopscotch Bakery + Market,10108905739483500,Madeleine Garvey,2018-03-10 14:55:49.97+00,Hopscotch Bakery + Market,802 West John Street, Champaign,Champaign,United States,Illinois
🙏,San Francisco International Airport,1818871448126667,James Lee,2018-03-23 17:33:57.419+00,San Francisco International Airport,San Francisco,San Francisco,United States,California
💰,Osteria Vecchio Piemonte,794492160751553,Wyndham Batchelor,2017-08-31 16:34:58.056+00,Osteria Vecchio Piemonte,10480 Southwest 72nd Street, Miami,Miami,United States,Florida
😩,Anjappar Chettinad Indian Restaurant,105856798281199967470,Sujay Khandekar,2018-12-27 22:01:14.315+00,Anjappar Chettinad Indian Restaurant,777 Lawrence Expressway, Santa Clara,Santa Clara,United States,California
👏,Krannert Center for the Performing Arts,10207814784727552,Lina Handayani Sie,2018-05-13 08:13:24.325+00,Krannert Center for the Performing Arts,500 South Goodwin Avenue, Urbana,Urbana,United States,Illinois
🗣,Google Crittenden Campus,110478412661569610356,cynthia coleman,2018-05-17 03:26:52.376+00,Google Crittenden Campus,Crittenden Ln, Mountain View,Mountain View,United States,California
🛐,Memorial to the Murdered Jews of Europe,106173579224565293482,Kala Shivaramaiah,2018-10-14 19:08:20.631+00,Memorial to the Murdered Jews of Europe,Cora-Berliner-Straße 1, Berlin,BerlinGermany,Berlin
🍵,TeaTop,6IF4jEVgqdOOayHvyiI12Pho8NY2,Ailing Wang,2018-07-22 07:16:15.2+00,TeaTop,6158 Bollinger Rd, San Jose,San Jose,United States,California
🤤,Golden Harbor Authentic Chinese Cuisine,100162404055730,Opico Alpaca,2017-10-23 18:06:49.26+00,Golden Harbor Authentic Chinese Cuisine,505 South Neil Street, Champaign,Champaign,United States,Illinois
😊,Sapporo 2,395494837568437,Zifei Feng,2018-03-22 00:15:36.988+00,Sapporo 2,3043 Olive Street, St. Louis,St. Louis,United States,Missouri
🍚,Golden Harbor Authentic Chinese Cuisine,100162404055730,Opico Alpaca,2017-10-23 18:06:49.26+00,Golden Harbor Authentic Chinese Cuisine,505 South Neil Street, Champaign,Champaign,United States,Illinois
🌧,Philz Coffee,10155351902975735,Ruta Lele,2018-03-25 01:08:13.902+00,Philz Coffee,19439 Stevens Creek Boulevard, Cupertino,Cupertino,United States,California
💤,Hotel Santo Mauro, Autograph Collection,10203191900074104,Sunil Khandekar,2018-06-21 22:24:57.691+00,Hotel Santo Mauro, Autograph Collection,Calle de Zurbano, 36, Madrid,Madrid,Spain,Comunidad de Madrid
🍑,Rachel's Ginger Beer,10210528750468531,Jewel Pi,2018-03-17 23:17:19.956+00,Rachel's Ginger Beer,1530 Post Alley, Seattle,Seattle,United States,Washington
🐟,Tamarind Tree,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-04-28 19:03:01.134+00,Tamarind Tree,1036 S Jackson St, Seattle,Seattle,United States,Washington
🙌,Thomas M. Siebel Center for Computer Science,10207814784727552,Lina Handayani Sie,2018-02-06 18:52:33.389+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
💲,Radio Maria,1787374657962185,Hanna Pawlowska,2018-02-22 01:35:44.099+00,Radio Maria,119 North Walnut Street, Champaign,Champaign,United States,Illinois
🍬,Bärenland Spandau,106173579224565293482,Kala Shivaramaiah,2018-10-16 09:12:44.614+00,Bärenland Spandau,Breite Straße 19, Berlin,BerlinGermany,Berlin
🏠,Biryaniz,106173579224565293482,Kala Shivaramaiah,2018-12-22 19:53:04.153+00,Biryaniz,246 Castro Street, Mountain View,Mountain View,United States,California
🍹,La Sirena Clandestina,878293195646842,Joe Higgs,2018-05-05 01:36:13.414+00,La Sirena Clandestina,954 West Fulton Market, Chicago,Chicago,United States,Illinois
🍅,Ferry Plaza Farmers Market,EqqFCv1Cd8h9lvYOkARhuZVm8zw1,AEGIS SHIVAKUMAR,2018-09-01 20:39:39.074+00,Ferry Plaza Farmers Market,One Ferry Building #50, San Francisco,San Francisco,United States,California
🥖,85C Bakery Cafe - Milpitas,10212391291791338,Jinda Han,2018-06-24 06:03:24.5+00,85C Bakery Cafe - Milpitas,672 Barber Lane, Milpitas,Milpitas,United States,California
🍽,Pineapple and Pearls,10155200088205955,Ranjitha Kumar,2019-01-01 03:42:44.126+00,Pineapple and Pearls,715 8th Street Southeast, Washington,Washington,United States,District of Columbia
🥚,Flying Machine Avionics,10157745799508644,Eunice Wangadi,2018-04-17 19:51:25.978+00,Flying Machine Avionics,202 South 1st Street, Champaign,Champaign,United States,Illinois
🤝,BrewLab Coffee,10155200088205955,Ranjitha Kumar,2019-06-04 17:31:08.503+00,BrewLab Coffee,5617, 630 South 5th Street, Champaign,Champaign,United States,Illinois
😎,Juno Hair,yfQw5nZ5WtbGjXSR4TuXjykfmal1,Ankit Kumar,2018-07-18 04:13:25.324+00,Juno Hair,1304-2 Seocho-dong, Seocho-gu,SeoulSouth Korea,Seoul
👍,West Park Farm and Sea,106173579224565293482,Kala Shivaramaiah,2019-06-12 22:03:47.894+00,West Park Farm and Sea,855 Middlefield Road, Redwood City,Redwood City,United States,California
🥥,Cuppacha,106173579224565293482,Kala Shivaramaiah,2019-05-27 13:46:48.238+00,Cuppacha,23 Newport Court, London,,United Kingdom,England
🏨,Comfort Suites,395494837568437,Zifei Feng,2018-04-28 20:54:18.658+00,Comfort Suites,28049 Wixom Rd, Wixom,Wixom,United States,Michigan
👨,Baskin-Robbins,115361705896308,Jerry Talton,2017-12-24 00:00:27.999+00,Baskin-Robbins,9547 Braddock Road, Fairfax,Fairfax,United States,Virginia
😋,Black Dog Smoke & Ale House,106173579224565293482,Kala Shivaramaiah,2018-09-24 04:51:29.472+00,Black Dog Smoke & Ale House,320 North Chestnut Street, Champaign,Champaign,United States,Illinois
🍚,Cravings,100162404055730,Opico Alpaca,2017-10-19 15:53:48.98+00,Cravings,603 South Wright Street, Champaign,Champaign,United States,Illinois
🤪,Legends,1818871448126667,James Lee,2018-05-03 04:31:02.234+00,Legends,522 East Green Street, Champaign,Champaign,United States,Illinois
🔄,Chicago Amtrak,1748667878486854,Ingrid Pan,2018-03-15 18:02:49.434+00,Chicago Amtrak,United States,Chicago,United States,Illinois
🙉,Signature Grill,1952478298114591,John Ray,2018-03-26 00:42:22.227+00,Signature Grill,Champaign,Champaign,United States,Illinois
🌶,Antique Taco,106173579224565293482,Kala Shivaramaiah,2018-09-11 21:43:57.355+00,Antique Taco,1360 North Milwaukee Avenue, Chicago,Chicago,United States,Illinois
🥃,Roanoke Restaurant,878293195646842,Joe Higgs,2017-12-14 03:36:33.289+00,Roanoke Restaurant,135 West Madison Street, Chicago,Chicago,United States,Illinois
🚘,Pittsburgh International Airport,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2018-11-30 23:06:23.622+00,Pittsburgh International Airport,1000 Airport Blvd, Pittsburgh,Pittsburgh,United States,Pennsylvania
👌,Restaurante Mextreme,10207814784727552,Lina Handayani Sie,2018-03-20 21:36:13.776+00,Restaurante Mextreme,Plaza Zócalo, Boulevard Kukulkan Km. 9.5, Zona Hotelera, Cancún,Cancún,Mexico,Quintana Roo
🍳,Electric Diner,105856798281199967470,Sujay Khandekar,2018-05-28 13:20:53.391+00,Electric Diner,191 Portobello Road, London,London,United Kingdom,England
🗨,Flying Machine Avionics,10155200088205955,Ranjitha Kumar,2018-12-11 20:22:29.677+00,Flying Machine Avionics,202 South 1st Street, Champaign,Champaign,United States,Illinois
🍻,O'Rourke's Public House,1695707747139533,Ben Dalgarn,2018-03-07 18:54:14.865+00,O'Rourke's Public House,1044 East Angela Boulevard #103, South Bend,South Bend,United States,Indiana
🍷,FARM at Carneros,10203191900074104,Sunil Khandekar,2018-02-27 19:55:44.128+00,FARM at Carneros,4048 Sonoma Hwy, Napa,Napa,United States,California
😟,311 E White Apartments,10212391291791338,Jinda Han,2018-12-18 11:14:37.608+00,311 E White Apartments,311 East White Street, Champaign,Champaign,United States,Illinois
🍔,Wendy's,1330502470387677,Ashwin Udayaprakash,2017-12-07 05:12:31.828+00,Wendy's,Illini Union, 1401 West Green Street, Urbana,Urbana,United States,Illinois
🍑,Champaign Farmers' Market,106173579224565293482,Kala Shivaramaiah,2018-07-25 04:00:38.259+00,Champaign Farmers' Market,310-330 North Neil Street, Champaign,Champaign,United States,Illinois
🍓,Pressed Cafe,1970440316501428,Pooja Welling,2018-03-24 15:44:44.023+00,Pressed Cafe,108 Spit Brook Rd, Nashua,Nashua,United States,New Hampshire
😀,Scandinavian Ski Shop,878293195646842,Joe Higgs,2018-02-16 03:46:35.078+00,Scandinavian Ski Shop,1621 Waukegan Rd, Glenview,Glenview,United States,Illinois
🧀,Gayle's Best Ever Grilled Cheese,1659104244102907,Dayana Edat,2018-04-16 23:50:25.522+00,Gayle's Best Ever Grilled Cheese,108 N State St, Level B1, Chicago,Chicago,United States,IL
😂,Those Dam Boat Guys,878293195646842,Joe Higgs,2018-02-19 06:57:38.787+00,Those Dam Boat Guys,Nieuwe Leliestraat 2, Amsterdam,Amsterdam,Netherlands,Noord-Holland
😀,Amazon - Doppler,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-08-11 00:05:13.524+00,Amazon - Doppler,2021 7th Ave, Seattle,Seattle,United States,Washington
📝,Illini Union,v5peK8F0fWW8v9Bs7OlRGswpUxH3,Shawn Sui,2019-09-03 06:48:40.386+00,Illini Union,1401 West Green Street, Urbana,Urbana,United States,Illinois
🍦,Paris super crepe,105856798281199967470,Sujay Khandekar,2018-05-07 02:45:42.691+00,Paris super crepe,601 South 6th Street suite 106, Champaign,Champaign,United States,Illinois
🎳,Strikers Family Sportscenter,878293195646842,Joe Higgs,2017-11-22 03:03:06.754+00,Strikers Family Sportscenter,8500 Northwest 44th Street, Sunrise,Lauderhill,United States,Florida
🍳,Radio Maria,10155963998008817,Deniz Arsan,2018-03-23 17:46:07.315+00,Radio Maria,119 North Walnut Street, Champaign,Champaign,United States,Illinois
💻,San Diego International Airport,1647801008617579,Oliver Melvin,2018-11-24 16:28:24.793+00,San Diego International Airport,3225 North Harbor Drive, San Diego,San Diego,United States,California
🍟,Burger King,10210528750468531,Jewel Pi,2018-03-17 23:24:39.425+00,Burger King,3301 4th Ave S, Seattle,Seattle,United States,Washington
🍰,MR CAKE,1726108570780522,Shivali Patel,2018-05-30 18:15:09.239+00,MR CAKE,12a, Rådmansgatan, Stockholm,Stockholm,Sweden,Stockholms län
🎼,Latitude Apartments,1361942793868970,Konstantinos Koiliaris,2017-11-17 04:52:53.512+00,Latitude Apartments,608 East University Avenue, Champaign,Champaign,United States,Illinois
😋,Sugarfina San Jose - Santana Row,10155200088205955,Ranjitha Kumar,2018-03-22 01:05:15.41+00,Sugarfina San Jose - Santana Row,377 Santana Row #1015, San Jose,San Jose,United States,California
🥢,Dao Tai House,10214788409806965,Berwin Xie,2018-08-19 19:02:49.983+00,Dao Tai House,1621 12th Avenue #102, Seattle,Seattle,United States,Washington
👏,Happy Lemon,10210528750468531,Jewel Pi,2017-11-23 09:15:02.492+00,Happy Lemon,20488 Stevens Creek Boulevard #2040, Cupertino,Cupertino,United States,California
😡,Chipotle Mexican Grill,10214788409806965,Berwin Xie,2018-04-24 22:04:28.864+00,Chipotle Mexican Grill,1415 Broadway, Seattle,Seattle,United States,Washington
🤑,Jupiter's At The Crossing,FZWoB4tFMYZJMouOcoXGTS16ozW2,Eric Benson,2018-10-10 02:03:22.521+00,Jupiter's At The Crossing,2511 Village Green Place, Champaign,Champaign,United States,Illinois
🌶,Mayfield Bakery & Cafe,106173579224565293482,Kala Shivaramaiah,2018-03-18 01:43:03.039+00,Mayfield Bakery & Cafe,855 El Camino Real, Palo Alto,Palo Alto,United States,California
🍀,Urbana's Market at the Square,10155200088205955,Ranjitha Kumar,2018-04-21 17:34:32.59+00,Urbana's Market at the Square,401 South Vine Street, Urbana,Urbana,United States,Illinois
🤩,The Roost Carolina Kitchen,106173579224565293482,Kala Shivaramaiah,2018-04-08 04:30:34.874+00,The Roost Carolina Kitchen,457 North Milwaukee Avenue, Chicago,Chicago,United States,Illinois
🌉,Tower Bridge,106173579224565293482,Kala Shivaramaiah,2019-03-14 17:46:14.625+00,Tower Bridge,Tower Bridge Road, London,United Kingdom,
🛬,San Francisco International Airport,105856798281199967470,Sujay Khandekar,2019-06-05 11:05:01.145+00,San Francisco International Airport,San Francisco,San Francisco,United States,California
🍖,J. Alexander's Restaurant,794492160751553,Wyndham Batchelor,2017-11-30 15:39:31.778+00,J. Alexander's Restaurant,8550 West Broward Boulevard, Plantation,Plantation,United States,Florida
🍚,M & J Chinese and Hibachi Cuisine,161575927917434,Janessa Wildermuth,2017-12-25 01:43:47.376+00,M & J Chinese and Hibachi Cuisine,706 Plaza Drive, Carterville,Carterville,United States,Illinois
😋,Gott's Roadside,106173579224565293482,Kala Shivaramaiah,2018-03-17 00:00:53.983+00,Gott's Roadside,San Francisco Ferry Building, 1 Vallejo - San Francisco Ferry Building #6, San Francisco,San Francisco,United States,California
🗣,EnterpriseWorks @ U of I Research Park,10203939764651022,Vincent Chang,2017-09-29 21:58:00.3+00,EnterpriseWorks @ U of I Research Park,60 Hazelwood Drive, Champaign,Champaign,United States,Illinois
😍,Homestead Inn - Thomas Henkelmann,10155200088205955,Ranjitha Kumar,2018-05-20 17:21:32.268+00,Homestead Inn - Thomas Henkelmann,420 Field Point Road, Greenwich,Greenwich,United States,Connecticut
🎂,BrewLab Coffee,1647801008617579,Oliver Melvin,2017-11-14 00:33:41.202+00,BrewLab Coffee,630 South 5th Street, Champaign,Champaign,United States,Illinois
🍜,Forum 55,1659104244102907,Dayana Edat,2018-02-21 03:29:48.964+00,Forum 55,55 E Monroe St, Chicago,Chicago,United States,Illinois
🍗,Buffalo Wild Wings,10160306553590694,Volkan Gul,2018-03-24 03:31:43.691+00,Buffalo Wild Wings,1335 Savoy Plaza Lane, Savoy,Savoy,United States,Illinois
🌋,LJMS Luther Jackson Middle School,IEmAqKkDbqbaRdXkTsZMay71J9a2,Carter Lindley,2018-05-23 17:28:40.856+00,LJMS Luther Jackson Middle School,3020 Gallows Rd, Falls Church,Falls Church,United States,Virginia
🤯,JSM,1720951507964911,Elena Gatti,2018-02-20 04:45:32.921+00,JSM,505 South 5th Street, Champaign,Champaign,United States,Illinois
👌,Spoon House,105856798281199967470,Sujay Khandekar,2018-04-29 22:28:42.947+00,Spoon House,East Green Street, Champaign,Champaign,United States,Illinois
🥙,Pitogyros,105856798281199967470,Sujay Khandekar,2019-06-11 15:11:05.638+00,Pitogyros,Oia,Oía,Greece,
👴,River Antoine Rum Distillery,108032751776815363988,Jerry Talton,2018-03-26 20:36:38.442+00,River Antoine Rum Distillery,River Antoine,,Grenada,Saint Patrick
🍕,Vapiano,10155022154936921,Marios Papamanou,2017-12-24 20:11:06.131+00,Vapiano,7 South Saint David Street, Edinburgh,Edinburgh,United Kingdom,Scotland
🍦,Mashti Malone's Ice Cream,1842834859127406,Sujal Sutaria,2018-03-24 07:17:12.168+00,Mashti Malone's Ice Cream,1525 N La Brea Ave, Hollywood,Los Angeles,United States,California
😎,Caffe Bene,lKlAPrXbDFdxA6H20byRG73mzbg2,Henry Woo,2019-04-17 21:04:48.595+00,Caffe Bene,524 East Green Street, Champaign,Champaign,United States,Illinois
👍,Colada Cuban Coffee House and Eatery,794492160751553,Wyndham Batchelor,2017-12-04 13:49:02.304+00,Colada Cuban Coffee House and Eatery,525 North Federal Highway #400, Fort Lauderdale,Fort Lauderdale,United States,Florida
🍻,The Blind Pig Brewery,10210025994434994,Kunal Patel,2017-09-10 05:06:11.869+00,The Blind Pig Brewery,120 North Neil Street, Champaign,Champaign,United States,Illinois
🕒,BlueDart Express Courier,yfQw5nZ5WtbGjXSR4TuXjykfmal1,Ankit Kumar,2018-08-08 21:56:27.806+00,BlueDart Express Courier,Waidhan,Waidhan,India,Madhya Pradesh
😋,Matcha Love,10212391291791338,Jinda Han,2018-07-07 15:52:23.027+00,Matcha Love,675 Saratoga Avenue, San Jose,San Jose,United States,California
👍,Mia Za's,103629337075362,Hubert Gao,2017-11-30 22:01:24.503+00,Mia Za's,629 East Green Street, Champaign,Champaign,United States,Illinois
🆗,Kohinoor Indian Restaurant and Lounge,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-19 21:57:12.555+00,Kohinoor Indian Restaurant and Lounge,6 East Columbia Avenue, Champaign,Champaign,United States,Illinois
🍷,Le Pigeon,108032751776815363988,Jerry Talton,2018-02-18 23:03:11.654+00,Le Pigeon,738 E Burnside St, Portland,Portland,United States,Oregon
🍗,Popeyes Louisiana Kitchen,10207814784727552,Lina Handayani Sie,2018-02-21 03:24:23.58+00,Popeyes Louisiana Kitchen,910 West Bloomington Road, Champaign,Champaign,United States,Illinois
🐫,337 Santana Row,106173579224565293482,Kala Shivaramaiah,2018-12-03 01:44:46.982+00,337 Santana Row,San Jose,San Jose,United States,California
🙄,University of Illinois Willard Airport CMI,10155200088205955,Ranjitha Kumar,2019-02-11 15:02:54.261+00,University of Illinois Willard Airport CMI,11 Airport Road, Savoy,Savoy,United States,Illinois
🥃,Rosewood,1111655028939865,Arnav Mishra,2018-04-23 05:32:36.209+00,Rosewood,60 St Jacques St, Montreal,Montréal,Canada,Québec
💡,The Bar With No Name,105856798281199967470,Sujay Khandekar,2018-06-01 10:43:08.348+00,The Bar With No Name,3 Fade St, Dublin 2,Dublin,Ireland,County Dublin
🛬,O'Hare International Airport,10155200088205955,Ranjitha Kumar,2019-09-06 00:18:19.179+00,O'Hare International Airport,10000 W O'Hare Ave, Chicago,Chicago,United States,Illinois
😌,Lao sze chuan,100162404055730,Opico Alpaca,2017-10-19 15:42:04.466+00,Lao sze chuan,608 East University Avenue ste. 105, Champaign,Champaign,United States,Illinois
💐,The Inn At Little Washington,108032751776815363988,Jerry Talton,2018-05-13 22:58:13.376+00,The Inn At Little Washington,439 Main St, Washington,Washington,United States,Virginia
🥗,Hard Rock Cafe,149333212339665,Mary Barone,2018-05-08 20:11:40.528+00,Hard Rock Cafe,1 Seminole Way, Fort Lauderdale,Hollywood,United States,Florida
🥞,The Original Pancake House,878293195646842,Joe Higgs,2017-11-24 15:05:06.787+00,The Original Pancake House,8460 West Broward Boulevard, Plantation,Plantation,United States,Florida
😋,Star Karaoke,10209807308692189,Edward Kim,2018-02-05 04:26:15.907+00,Star Karaoke,1503 Lyndhurst Alley, Savoy,Savoy,United States,Illinois
🍖,Jambo yakiniku 焼肉ジャンボはなれ,1806470722731430,Akira Matsuda,2018-03-11 05:37:08.104+00,Jambo yakiniku 焼肉ジャンボはなれ,アンリツビル, 1F, ３丁目-27−９ Hongo, Bunkyō,Bunkyō-ku,Japan,Tōkyō-to
🔧,Champaign-Urbana Community Fab Lab,10156087054263545,Renee Tso,2018-02-09 03:34:04.535+00,Champaign-Urbana Community Fab Lab,1301 South Goodwin Avenue, Art Annex 2, Urbana,Urbana,United States,Illinois
🚅,Euston Station,10155200088205955,Ranjitha Kumar,2019-05-07 10:27:06.977+00,Euston Station,Station, Road, Euston,,United Kingdom,England
🌃,The Standard, High Line,1748667878486854,Ingrid Pan,2018-04-06 01:20:50.919+00,The Standard, High Line,848 Washington Street, New York,New York,United States,NY
📽,AMC Eastridge 15,115361705896308,Jerry Talton,2017-12-17 04:23:38.432+00,AMC Eastridge 15,2190 Eastridge Loop, San Jose,San Jose,United States,California
🍅,Champaign Farmers' Market,106173579224565293482,Kala Shivaramaiah,2018-09-18 21:05:14.281+00,Champaign Farmers' Market,EE..c . UU, 310-330 North Neil Street, Champaign,Champaign,United States,Illinois
😋,Raclette,1111655028939865,Arnav Mishra,2018-05-17 02:47:57.007+00,Raclette,511 East 12th Street, New York,New YorkUnited States,New York
😎,The Half King,115361705896308,Jerry Talton,2018-01-01 01:50:24.915+00,The Half King,505 West 23rd Street A, New York,New YorkUnited States,New York
🌴,O'Hare International Airport,878293195646842,Joe Higgs,2017-12-21 01:11:49.132+00,O'Hare International Airport,10000 W O'Hare Ave, Chicago,Chicago,United States,Illinois
🕛,Happy Donuts,10155200088205955,Ranjitha Kumar,2019-05-31 07:03:28.644+00,Happy Donuts,1330 El Camino Real, Redwood City,Redwood City,United States,California
🦍,Bad Axe Throwing,1659104244102907,Dayana Edat,2018-07-26 15:35:55.984+00,Bad Axe Throwing,165 N Loomis St, Chicago,Chicago,United States,Illinois
🌊,University of Washington Waterfront Activities Center (WAC),IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-07-28 03:54:58.012+00,University of Washington Waterfront Activities Center (WAC),3710 Montlake Blvd NE, Seattle,Seattle,United States,Washington
